Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Sales,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
109-28-2512,Cairo,"Cairo, Egypt",Member,Female,Fashion accessories,97.61,6,29.283,614.943,1/7/2019,12/31/1899 3:01:00 PM,Ewallet,585.66,4.761904762,29.283,9.9
109-86-4363,Cairo,"Cairo, Egypt",Member,Female,Sports and travel,60.08,7,21.028,441.588,2/14/2019,12/31/1899 11:36:00 AM,Credit card,420.56,4.761904762,21.028,4.5
110-48-7033,Cairo,"Cairo, Egypt",Member,Male,Fashion accessories,32.62,4,6.524,137.004,1/29/2019,12/31/1899 2:12:00 PM,Cash,130.48,4.761904762,6.524,9
114-35-5271,Cairo,"Cairo, Egypt",Normal,Female,Electronic accessories,57.91,8,23.164,486.444,2/7/2019,12/31/1899 3:06:00 PM,Cash,463.28,4.761904762,23.164,8.1
115-99-4379,Cairo,"Cairo, Egypt",Member,Female,Fashion accessories,54.73,7,19.1555,402.2655,3/14/2019,12/31/1899 7:02:00 PM,Credit card,383.11,4.761904762,19.1555,8.5
120-54-2248,Cairo,"Cairo, Egypt",Normal,Female,Food and beverages,28.86,5,7.215,151.515,1/22/2019,12/31/1899 6:08:00 PM,Credit card,144.3,4.761904762,7.215,8
132-32-9879,Cairo,"Cairo, Egypt",Member,Female,Electronic accessories,93.96,4,18.792,394.632,3/9/2019,12/31/1899 6:00:00 PM,Cash,375.84,4.761904762,18.792,9.5
133-77-3154,Cairo,"Cairo, Egypt",Member,Male,Fashion accessories,60.18,4,12.036,252.756,2/16/2019,12/31/1899 6:04:00 PM,Credit card,240.72,4.761904762,12.036,9.4
134-54-4720,Cairo,"Cairo, Egypt",Normal,Female,Electronic accessories,42.42,8,16.968,356.328,1/30/2019,12/31/1899 1:58:00 PM,Ewallet,339.36,4.761904762,16.968,5.7
135-13-8269,Cairo,"Cairo, Egypt",Member,Female,Food and beverages,78.88,2,7.888,165.648,1/26/2019,12/31/1899 4:04:00 PM,Cash,157.76,4.761904762,7.888,9.1
139-20-0155,Cairo,"Cairo, Egypt",Member,Male,Electronic accessories,40.3,10,20.15,423.15,1/24/2019,12/31/1899 5:37:00 PM,Credit card,403,4.761904762,20.15,7
142-63-6033,Cairo,"Cairo, Egypt",Normal,Male,Home and lifestyle,92.36,5,23.09,484.89,3/20/2019,12/31/1899 7:17:00 PM,Ewallet,461.8,4.761904762,23.09,4.9
145-94-9061,Cairo,"Cairo, Egypt",Member,Female,Food and beverages,88.36,5,22.09,463.89,1/25/2019,12/31/1899 7:48:00 PM,Cash,441.8,4.761904762,22.09,9.6
149-15-7606,Cairo,"Cairo, Egypt",Member,Male,Sports and travel,37.32,9,16.794,352.674,3/6/2019,12/31/1899 3:31:00 PM,Ewallet,335.88,4.761904762,16.794,5.1
149-71-6266,Cairo,"Cairo, Egypt",Member,Female,Sports and travel,78.07,9,35.1315,737.7615,1/28/2019,12/31/1899 12:43:00 PM,Cash,702.63,4.761904762,35.1315,4.5
151-33-7434,Cairo,"Cairo, Egypt",Normal,Female,Food and beverages,67.77,1,3.3885,71.1585,2/4/2019,12/31/1899 8:43:00 PM,Credit card,67.77,4.761904762,3.3885,6.5
152-03-4217,Cairo,"Cairo, Egypt",Normal,Female,Home and lifestyle,11.28,9,5.076,106.596,3/17/2019,12/31/1899 11:55:00 AM,Credit card,101.52,4.761904762,5.076,4.3
152-08-9985,Cairo,"Cairo, Egypt",Member,Female,Health and beauty,64.36,9,28.962,608.202,3/12/2019,12/31/1899 12:09:00 PM,Credit card,579.24,4.761904762,28.962,8.6
154-74-7179,Cairo,"Cairo, Egypt",Normal,Male,Sports and travel,54.45,1,2.7225,57.1725,2/26/2019,12/31/1899 7:24:00 PM,Ewallet,54.45,4.761904762,2.7225,7.9
156-20-0370,Cairo,"Cairo, Egypt",Normal,Female,Electronic accessories,25.45,1,1.2725,26.7225,3/10/2019,12/31/1899 6:10:00 PM,Credit card,25.45,4.761904762,1.2725,5.1
172-42-8274,Cairo,"Cairo, Egypt",Normal,Female,Electronic accessories,38.27,2,3.827,80.367,3/2/2019,12/31/1899 6:18:00 PM,Credit card,76.54,4.761904762,3.827,5.8
173-50-1108,Cairo,"Cairo, Egypt",Member,Female,Sports and travel,20.18,4,4.036,84.756,2/13/2019,12/31/1899 12:14:00 PM,Credit card,80.72,4.761904762,4.036,5
173-82-9529,Cairo,"Cairo, Egypt",Normal,Female,Fashion accessories,37.95,10,18.975,398.475,1/26/2019,12/31/1899 2:51:00 PM,Cash,379.5,4.761904762,18.975,9.7
174-64-0215,Cairo,"Cairo, Egypt",Normal,Male,Sports and travel,69.74,10,34.87,732.27,3/5/2019,12/31/1899 5:49:00 PM,Credit card,697.4,4.761904762,34.87,8.9
174-75-0888,Cairo,"Cairo, Egypt",Normal,Male,Electronic accessories,21.58,9,9.711,203.931,3/14/2019,12/31/1899 12:32:00 PM,Cash,194.22,4.761904762,9.711,7.3
176-64-7711,Cairo,"Cairo, Egypt",Normal,Male,Food and beverages,32.32,3,4.848,101.808,3/27/2019,12/31/1899 7:11:00 PM,Credit card,96.96,4.761904762,4.848,4.3
181-82-6255,Cairo,"Cairo, Egypt",Normal,Female,Home and lifestyle,16.37,6,4.911,103.131,2/8/2019,12/31/1899 10:58:00 AM,Cash,98.22,4.761904762,4.911,7
