Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Sales,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
101-81-4070,Giza,"Giza, Egypt",Member,Female,Health and beauty,62.82,2,6.282,131.922,2019-01-17 00:00:00,1899-12-31 12:36:00,Ewallet,125.64,4.761904762,6.282,4.9
102-06-2002,Giza,"Giza, Egypt",Member,Male,Sports and travel,25.25,5,6.3125,132.5625,2019-03-20 00:00:00,1899-12-31 17:52:00,Cash,126.25,4.761904762,6.3125,6.1
102-77-2261,Giza,"Giza, Egypt",Member,Male,Health and beauty,65.31,7,22.8585,480.0285,2019-03-05 00:00:00,1899-12-31 18:02:00,Credit card,457.17,4.761904762,22.8585,4.2
110-05-6330,Giza,"Giza, Egypt",Normal,Female,Food and beverages,39.43,6,11.829,248.409,2019-03-25 00:00:00,1899-12-31 20:18:00,Credit card,236.58,4.761904762,11.829,9.4
115-38-7388,Giza,"Giza, Egypt",Member,Female,Fashion accessories,10.18,8,4.072,85.512,2019-03-30 00:00:00,1899-12-31 12:51:00,Credit card,81.44,4.761904762,4.072,9.5
118-62-1812,Giza,"Giza, Egypt",Member,Female,Home and lifestyle,78.38,4,15.676,329.196,2019-03-24 00:00:00,1899-12-31 17:56:00,Cash,313.52,4.761904762,15.676,7.9
120-06-4233,Giza,"Giza, Egypt",Member,Female,Electronic accessories,30.61,6,9.183,192.843,2019-03-12 00:00:00,1899-12-31 20:36:00,Cash,183.66,4.761904762,9.183,9.3
122-61-9553,Giza,"Giza, Egypt",Normal,Female,Electronic accessories,51.32,9,23.094,484.974,2019-03-14 00:00:00,1899-12-31 19:33:00,Cash,461.88,4.761904762,23.094,5.6
123-35-4896,Giza,"Giza, Egypt",Normal,Female,Sports and travel,46.66,9,20.997,440.937,2019-02-17 00:00:00,1899-12-31 19:11:00,Ewallet,419.94,4.761904762,20.997,5.3
130-98-8941,Giza,"Giza, Egypt",Normal,Male,Fashion accessories,64.26,7,22.491,472.311,2019-02-09 00:00:00,1899-12-31 10:00:00,Cash,449.82,4.761904762,22.491,5.7
