itemclass,class_name,section,section_name,itemgroup,group_name,department,dept_name
1,غذائي,1,مواد غذائية طازجة,10,لحوم ودواجن,1001,لحوم طازجة
1,غذائي,1,مواد غذائية طازجة,10,لحوم ودواجن,1002,لحوم مفرومة
1,غذائي,1,مواد غذائية طازجة,10,لحوم ودواجن,1003,دواجن كاملة
1,غذائي,1,مواد غذائية طازجة,10,لحوم ودواجن,1004,قطع دواجن
1,غذائي,1,مواد غذائية طازجة,11,أسماك ومأكولات بحرية,1101,أسماك طازجة
1,غذائي,1,مواد غذائية طازجة,11,أسماك ومأكولات بحرية,1102,قشريات ومحار
1,غذائي,1,مواد غذائية طازجة,12,خضروات وفواكه,1201,خضروات ورقية
1,غذائي,1,مواد غذائية طازجة,12,خضروات وفواكه,1202,فواكه موسمية
1,غذائي,1,مواد غذائية طازجة,12,خضروات وفواكه,1203,خضروات جذرية
1,غذائي,1,مواد غذائية طازجة,13,ألبان وأجبان,1301,أجبان بيضاء ورومية
1,غذائي,1,مواد غذائية طازجة,13,ألبان وأجبان,1302,زبادي
1,غذائي,1,مواد غذائية طازجة,13,ألبان وأجبان,1303,حليب طازج ومبستر
1,غذائي,1,مواد غذائية طازجة,13,ألبان وأجبان,1304,زبدة وقشطة
1,غذائي,1,مواد غذائية طازجة,14,مخبوزات وحلويات,1401,خبز عربي
1,غذائي,1,مواد غذائية طازجة,14,مخبوزات وحلويات,1402,خبز أفرنجي
1,غذائي,1,مواد غذائية طازجة,14,مخبوزات وحلويات,1403,حلويات غربية
1,غذائي,1,مواد غذائية طازجة,14,مخبوزات وحلويات,1404,كيك ومخبوزات مغلفة
1,غذائي,2,بقالة جافة,20,حبوب وبقوليات,2001,أرز
1,غذائي,2,بقالة جافة,20,حبوب وبقوليات,2002,مكرونة
1,غذائي,2,بقالة جافة,20,حبوب وبقوليات,2003,عدس وبقوليات أخرى
1,غذائي,2,بقالة جافة,20,حبوب وبقوليات,2004,سكر
1,غذائي,2,بقالة جافة,21,زيوت وسمن,2101,زيت زيتون
1,غذائي,2,بقالة جافة,21,زيوت وسمن,2102,زيت ذرة وعباد
1,غذائي,2,بقالة جافة,21,زيوت وسمن,2103,سمن نباتي وحيواني
1,غذائي,2,بقالة جافة,22,معلبات,2201,تونة وأسماك معلبة
1,غذائي,2,بقالة جافة,22,معلبات,2202,فول وبقوليات معلبة
1,غذائي,2,بقالة جافة,22,معلبات,2203,صلصة ومعجون طماطم
1,غذائي,2,بقالة جافة,22,معلبات,2204,خضار وفواكه معلبة
1,غذائي,2,بقالة جافة,23,مشروبات,2301,شاي
1,غذائي,2,بقالة جافة,23,مشروبات,2302,قهوة ونسكافيه
1,غذائي,2,بقالة جافة,23,مشروبات,2303,عصائر ومشروبات طبيعية
1,غذائي,2,بقالة جافة,23,مشروبات,2304,مياه غازية ومعدنية
1,غذائي,2,بقالة جافة,24,مكسرات وبهارات,2401,توابل وبهارات
1,غذائي,2,بقالة جافة,24,مكسرات وبهارات,2402,مكسرات وتسالي
1,غذائي,2,بقالة جافة,24,مكسرات وبهارات,2403,عطارة وأعشاب
1,غذائي,3,مجمدات,30,خضروات مجمدة,3001,بسلة مجمدة
1,غذائي,3,مجمدات,30,خضروات مجمدة,3002,ملوخية مجمدة
1,غذائي,3,مجمدات,30,خضروات مجمدة,3003,خضار مشكل
1,غذائي,3,مجمدات,31,لحوم ومصنعات مجمدة,3101,برجر
1,غذائي,3,مجمدات,31,لحوم ومصنعات مجمدة,3102,سجق ومفروم
1,غذائي,3,مجمدات,31,لحوم ومصنعات مجمدة,3103,بانيه وناجتس
1,غذائي,3,مجمدات,32,آيس كريم وحلويات مجمدة,3201,آيس كريم
1,غذائي,3,مجمدات,32,آيس كريم وحلويات مجمدة,3202,عجائن جاهزة (بيتزا وسمبوسك)
2,غير غذائي,4,منظفات وعناية شخصية,40,منظفات منزلية,4001,مساحيق غسيل أوتوماتيك وعادي
2,غير غذائي,4,منظفات وعناية شخصية,40,منظفات منزلية,4002,منظفات أطباق
2,غير غذائي,4,منظفات وعناية شخصية,40,منظفات منزلية,4003,منظفات أسطح وزجاج
2,غير غذائي,4,منظفات وعناية شخصية,41,عناية شخصية,4101,شامبو وبلسم
2,غير غذائي,4,منظفات وعناية شخصية,41,عناية شخصية,4102,صابون وشاور جل
2,غير غذائي,4,منظفات وعناية شخصية,41,عناية شخصية,4103,معجون وفرش أسنان
2,غير غذائي,4,منظفات وعناية شخصية,41,عناية شخصية,4104,كريمات وعناية بالبشرة
2,غير غذائي,4,منظفات وعناية شخصية,42,منتجات ورقية,4201,مناديل وجه
2,غير غذائي,4,منظفات وعناية شخصية,42,منتجات ورقية,4202,ورق تواليت
2,غير غذائي,4,منظفات وعناية شخصية,42,منتجات ورقية,4203,فوط مطبخ
2,غير غذائي,5,أدوات منزلية وإلكترونيات,50,أدوات مطبخ,5001,أواني وطاسات
2,غير غذائي,5,أدوات منزلية وإلكترونيات,50,أدوات مطبخ,5002,أدوات مائدة وكاسات
2,غير غذائي,5,أدوات منزلية وإلكترونيات,50,أدوات مطبخ,5003,بلاستيكيات وعلب حفظ
2,غير غذائي,5,أدوات منزلية وإلكترونيات,51,إلكترونيات صغيرة,5101,خلاطات وكبات
2,غير غذائي,5,أدوات منزلية وإلكترونيات,51,إلكترونيات صغيرة,5102,مكواة
2,غير غذائي,5,أدوات منزلية وإلكترونيات,51,إلكترونيات صغيرة,5103,غلايات مياه
2,غير غذائي,5,أدوات منزلية وإلكترونيات,52,إكسسوارات جوال,5201,شواحن وكابلات
2,غير غذائي,5,أدوات منزلية وإلكترونيات,52,إكسسوارات جوال,5202,سماعات
