itemclass,section,itemgroup,department,a_name,retailprice,costprice,peices,status,itemean,barcode,producerno
1,1,10,1001,لحم بقري مكعبات بلدي 1 كجم,420.0,380.0,1,1,00003552,622300355200,12
1,1,10,1001,كباب حلة طازج 1 كجم,450.0,400.0,1,1,00003553,622300355300,13
1,1,10,1001,موزة بقري بلدي 1 كجم,435.0,390.0,1,1,00003554,622300355400,13
1,1,10,1001,ستيك انتركوت طازج 1 كجم,480.0,420.0,1,1,00003555,622300355500,36
1,1,13,1302,زبادي جهينة طبيعي 105جم,7.0,5.5,1,1,00003556,622300355600,34
1,1,13,1302,زبادي جهينة طبيعي 105جم - كرتونة 24,159.6,132.0,24,1,00003556,622300355624,34
1,1,13,1302,زبادي المراعي لايت 105جم,7.0,5.5,1,1,00003557,622300355700,13
1,1,13,1302,زبادي المراعي لايت 105جم - كرتونة 6,39.9,33.0,6,1,00003557,622300355706,13
1,1,13,1302,زبادي دانون بالفراولة 100جم,8.0,6.5,1,1,00003558,622300355800,20
1,1,13,1302,زبادي دانون بالفراولة 100جم - كرتونة 24,182.4,156.0,24,1,00003558,622300355824,20
1,1,13,1302,زبادي نستله يوناني سادة 170جم,28.0,22.0,1,1,00003559,622300355900,30
1,1,13,1302,زبادي نستله يوناني سادة 170جم - كرتونة 6,159.6,132.0,6,1,00003559,622300355906,30
1,1,13,1302,زبادي لبنيتا عائلي 3 كجم,135.0,110.0,1,1,00003560,622300356000,26
1,1,13,1303,حليب جهينة كامل الدسم 1 لتر,42.0,35.0,1,1,00003561,622300356100,2
1,1,13,1303,حليب جهينة كامل الدسم 1 لتر - كرتونة 24,957.6,840.0,24,1,00003561,622300356124,2
1,1,13,1303,حليب المراعي خالي الدسم 1.5 لتر,60.0,50.0,1,1,00003562,622300356200,15
1,1,13,1303,حليب المراعي خالي الدسم 1.5 لتر - كرتونة 6,342.0,300.0,6,1,00003562,622300356206,15
1,1,13,1303,حليب لمار بالشوكولاتة 200 مل,12.0,9.0,1,1,00003563,622300356300,39
1,1,13,1303,حليب لمار بالشوكولاتة 200 مل - كرتونة 12,136.8,108.0,12,1,00003563,622300356312,39
