transaction_id,transaction_date,branch_id,itemean,barcode,qty_sold,qty_returned,net_qty,unit_price,unit_cost,total_sales_value,total_return_value,net_sales_value,net_cost_value,profit_amount
TRX-20260212-00791,2026-02-12 07:24:18,2,00003604,622300360400,3,0,3,50.0,40.0,150.0,0.0,150.0,120.0,30.0
TRX-20260212-00932,2026-02-12 07:32:14,1,00003600,622300360000,5,0,5,135.0,110.0,675.0,0.0,675.0,550.0,125.0
TRX-20260212-03747,2026-02-12 08:03:29,2,00003572,622300357200,3,0,3,23.0,18.0,69.0,0.0,69.0,54.0,15.0
TRX-20260212-00367,2026-02-12 08:19:01,1,00003593,622300359300,1,0,1,18.0,14.0,18.0,0.0,18.0,14.0,4.0
TRX-20260212-02268,2026-02-12 08:19:47,3,00003613,622300361324,1,1,0,2394.0,2040.0,2394.0,2394.0,0.0,0.0,0.0
TRX-20260212-04500,2026-02-12 08:34:22,2,00003600,622300360000,4,0,4,135.0,110.0,540.0,0.0,540.0,440.0,100.0
TRX-20260212-04629,2026-02-12 08:43:57,4,00003585,622300358500,2,0,2,220.0,180.0,440.0,0.0,440.0,360.0,80.0
TRX-20260212-01441,2026-02-12 08:55:59,1,00003566,622300356600,4,0,4,180.0,150.0,720.0,0.0,720.0,600.0,120.0
TRX-20260212-03774,2026-02-12 08:59:42,2,00003595,622300359500,2,0,2,110.0,85.0,220.0,0.0,220.0,170.0,50.0
TRX-20260212-01735,2026-02-12 09:39:24,1,00003611,622300361124,2,1,1,638.4,528.0,1276.8,638.4,638.4,528.0,110.4
TRX-20260212-01562,2026-02-12 09:50:54,5,00003552,622300355200,2,0,2,420.0,380.0,840.0,0.0,840.0,760.0,80.0
TRX-20260212-00089,2026-02-12 09:56:03,3,00003611,622300361100,1,0,1,28.0,22.0,28.0,0.0,28.0,22.0,6.0
TRX-20260212-00287,2026-02-12 10:03:48,1,00003579,622300357900,3,0,3,110.0,85.0,330.0,0.0,330.0,255.0,75.0
TRX-20260212-01727,2026-02-12 10:20:18,1,00003590,622300359000,4,0,4,23.0,18.0,92.0,0.0,92.0,72.0,20.0
TRX-20260212-01764,2026-02-12 10:57:32,4,00003575,622300357500,2,0,2,55.0,45.0,110.0,0.0,110.0,90.0,20.0
TRX-20260212-03228,2026-02-12 11:05:50,1,00003572,622300357200,1,0,1,23.0,18.0,23.0,0.0,23.0,18.0,5.0
TRX-20260212-03374,2026-02-12 12:46:35,1,00003574,622300357400,3,0,3,155.0,135.0,465.0,0.0,465.0,405.0,60.0
TRX-20260212-00789,2026-02-12 12:56:45,3,00003607,622300360700,2,0,2,125.0,95.0,250.0,0.0,250.0,190.0,60.0
TRX-20260212-03527,2026-02-12 13:37:13,3,00003563,622300356300,4,3,1,12.0,9.0,48.0,36.0,12.0,9.0,3.0
TRX-20260212-00085,2026-02-12 13:39:42,4,00003569,622300356900,2,0,2,14.0,11.0,28.0,0.0,28.0,22.0,6.0
TRX-20260212-01549,2026-02-12 14:04:21,1,00003577,622300357700,2,0,2,65.0,50.0,130.0,0.0,130.0,100.0,30.0
TRX-20260212-01157,2026-02-12 14:15:27,1,00003604,622300360400,5,0,5,50.0,40.0,250.0,0.0,250.0,200.0,50.0
TRX-20260212-02816,2026-02-12 15:27:03,2,00003566,622300356600,3,0,3,180.0,150.0,540.0,0.0,540.0,450.0,90.0
TRX-20260212-03933,2026-02-12 15:45:21,2,00003598,622300359800,3,0,3,245.0,210.0,735.0,0.0,735.0,630.0,105.0
TRX-20260212-00353,2026-02-12 15:54:47,2,00003591,622300359100,5,0,5,7.0,5.0,35.0,0.0,35.0,25.0,10.0
TRX-20260212-01139,2026-02-12 16:25:03,5,00003610,622300361000,1,0,1,75.0,60.0,75.0,0.0,75.0,60.0,15.0
TRX-20260212-02069,2026-02-12 16:40:04,1,00003573,622300357324,1,0,1,2006.4,1800.0,2006.4,0.0,2006.4,1800.0,206.4
TRX-20260212-01487,2026-02-12 17:30:14,2,00003574,622300357400,3,0,3,155.0,135.0,465.0,0.0,465.0,405.0,60.0
TRX-20260212-02825,2026-02-12 17:42:38,1,00003610,622300361000,3,0,3,75.0,60.0,225.0,0.0,225.0,180.0,45.0
TRX-20260212-00823,2026-02-12 18:11:18,1,00003555,622300355500,2,2,0,480.0,420.0,960.0,960.0,0.0,0.0,0.0
TRX-20260212-04931,2026-02-12 18:40:26,5,00003580,622300358000,5,0,5,38.0,30.0,190.0,0.0,190.0,150.0,40.0
TRX-20260212-03789,2026-02-12 19:18:00,3,00003562,622300356200,2,0,2,60.0,50.0,120.0,0.0,120.0,100.0,20.0
TRX-20260212-00180,2026-02-12 19:46:25,2,00003613,622300361300,4,0,4,105.0,85.0,420.0,0.0,420.0,340.0,80.0
TRX-20260212-04555,2026-02-12 20:04:51,3,00003580,622300358000,5,0,5,38.0,30.0,190.0,0.0,190.0,150.0,40.0
TRX-20260212-03699,2026-02-12 20:14:29,3,00003554,622300355400,3,0,3,435.0,390.0,1305.0,0.0,1305.0,1170.0,135.0
TRX-20260212-04723,2026-02-12 20:57:09,4,00003566,622300356600,3,0,3,180.0,150.0,540.0,0.0,540.0,450.0,90.0
TRX-20260212-00048,2026-02-12 21:00:49,1,00003584,622300358400,2,0,2,26.0,20.0,52.0,0.0,52.0,40.0,12.0
TRX-20260212-02889,2026-02-12 21:08:00,2,00003600,622300360000,5,0,5,135.0,110.0,675.0,0.0,675.0,550.0,125.0
TRX-20260212-03619,2026-02-12 21:41:08,1,00003557,622300355700,5,0,5,7.0,5.5,35.0,0.0,35.0,27.5,7.5
TRX-20260212-00184,2026-02-12 22:36:39,4,00003596,622300359600,2,0,2,120.0,95.0,240.0,0.0,240.0,190.0,50.0
TRX-20260212-04606,2026-02-12 23:15:02,2,00003574,622300357400,1,0,1,155.0,135.0,155.0,0.0,155.0,135.0,20.0
TRX-20260212-04595,2026-02-12 23:43:27,1,00003606,622300360600,4,0,4,85.0,65.0,340.0,0.0,340.0,260.0,80.0
TRX-20260213-04038,2026-02-13 00:21:31,1,00003563,622300356300,4,0,4,12.0,9.0,48.0,0.0,48.0,36.0,12.0
TRX-20260213-02126,2026-02-13 00:46:39,1,00003560,622300356000,1,0,1,135.0,110.0,135.0,0.0,135.0,110.0,25.0
TRX-20260213-01356,2026-02-13 01:27:14,1,00003591,622300359100,1,0,1,7.0,5.0,7.0,0.0,7.0,5.0,2.0
TRX-20260213-00811,2026-02-13 02:15:16,4,00003556,622300355600,3,0,3,7.0,5.5,21.0,0.0,21.0,16.5,4.5
TRX-20260213-01459,2026-02-13 02:32:44,2,00003570,622300357000,4,0,4,20.0,16.0,80.0,0.0,80.0,64.0,16.0
TRX-20260213-03321,2026-02-13 02:38:29,5,00003605,622300360500,3,3,0,58.0,45.0,174.0,174.0,0.0,0.0,0.0
